Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0070904,2018-08-08,2018-08-08,,"World on a Wire","Welt am Draht",https://www.imdb.com/title/tt0070904/,TV Mini Series,7.7,103,1973,"Crime, Mystery, Sci-Fi",6926,1973-10-14,,,
2,tt4192782,2018-09-03,2018-09-03,,"Glitch","Glitch",https://www.imdb.com/title/tt4192782/,TV Series,7.2,45,2015,"Drama, Horror, Sci-Fi, Thriller",21772,2016-10-15,,,
3,tt0446685,2018-09-19,2018-09-19,,"Drawing Restraint 9","Drawing Restraint 9",https://www.imdb.com/title/tt0446685/,Movie,6.5,135,2005,"Fantasy",1572,2006-03-29,"Matthew Barney",,
4,tt5893264,2018-10-11,2018-10-11,,"Based on a True Story","D'après une histoire vraie",https://www.imdb.com/title/tt5893264/,Movie,5.7,100,2017,"Drama, Mystery, Thriller",7528,2017-11-01,"Roman Polanski",,
5,tt1474684,2018-10-14,2018-10-14,,"Luther","Luther",https://www.imdb.com/title/tt1474684/,TV Series,8.4,60,2010,"Crime, Drama, Mystery, Thriller",157015,2010-10-17,,,
6,tt1186356,2018-10-14,2018-10-14,,"Whitechapel","Whitechapel",https://www.imdb.com/title/tt1186356/,TV Series,7.8,,2009,"Crime, Mystery, Thriller",15249,2009-02-02,,,
7,tt2649356,2018-10-14,2018-10-14,,"Sharp Objects","Sharp Objects",https://www.imdb.com/title/tt2649356/,TV Mini Series,8.0,53,2018,"Crime, Drama, Mystery, Thriller",125015,2018-07-08,,,
8,tt0986263,2018-11-07,2018-11-07,,"Surrogates","Surrogates",https://www.imdb.com/title/tt0986263/,Movie,6.3,89,2009,"Action, Sci-Fi, Thriller",181593,2009-09-25,"Jonathan Mostow",,
9,tt0085780,2018-11-10,2018-11-10,,"The Keep","The Keep",https://www.imdb.com/title/tt0085780/,Movie,5.7,96,1983,"Drama, Fantasy, Horror",14735,1983-12-16,"Michael Mann",,
10,tt0023563,2018-11-10,2018-11-10,,"The Testament of Dr. Mabuse","Das Testament des Dr. Mabuse",https://www.imdb.com/title/tt0023563/,Movie,7.9,122,1933,"Crime, Mystery, Thriller",13856,1943-03-19,"Fritz Lang",,
11,tt0067386,2018-11-10,2018-11-10,,"The Legend of Doom House","Malpertuis",https://www.imdb.com/title/tt0067386/,Movie,6.6,125,1971,"Drama, Fantasy, Horror, Mystery",1713,1971,"Harry Kümel",,
12,tt0104652,2018-11-11,2018-11-11,,"Porco Rosso","Kurenai no buta",https://www.imdb.com/title/tt0104652/,Movie,7.7,94,1992,"Animation, Adventure, Comedy, Fantasy",106135,1994-12-16,"Hayao Miyazaki",,
13,tt1602613,2018-11-11,2018-11-11,,"Only God Forgives","Only God Forgives",https://www.imdb.com/title/tt1602613/,Movie,5.7,90,2013,"Action, Crime, Drama, Thriller",119666,2013-05-22,"Nicolas Winding Refn",,
14,tt0064781,2018-11-19,2018-11-19,,"Fruit of Paradise","Ovoce stromu rajských jíme",https://www.imdb.com/title/tt0064781/,Movie,6.7,99,1970,"Drama",1319,1970-07-31,"Vera Chytilová",,
15,tt4687882,2018-11-26,2018-11-26,,"Patriot","Patriot",https://www.imdb.com/title/tt4687882/,TV Series,8.2,50,2015,"Comedy, Drama, Thriller",18930,2015-11-05,,,
16,tt6857112,2018-12-29,2018-12-29,,"Us","Us",https://www.imdb.com/title/tt6857112/,Movie,6.8,116,2019,"Horror, Mystery, Thriller",355531,2019-03-22,"Jordan Peele",,
17,tt0119891,2019-01-08,2019-01-08,,"Phantoms","Phantoms",https://www.imdb.com/title/tt0119891/,Movie,5.4,96,1998,"Horror, Sci-Fi, Thriller",23227,1998-01-23,"Joe Chappelle",,
18,tt0407887,2019-01-20,2019-01-20,,"The Departed","The Departed",https://www.imdb.com/title/tt0407887/,Movie,8.5,151,2006,"Crime, Drama, Thriller",1455425,2006-10-06,"Martin Scorsese",,
19,tt0335266,2019-01-22,2019-01-22,,"Lost in Translation","Lost in Translation",https://www.imdb.com/title/tt0335266/,Movie,7.7,102,2003,"Comedy, Drama",502883,2003-10-03,"Sofia Coppola",,
20,tt6155172,2019-01-24,2019-01-24,,"Roma","Roma",https://www.imdb.com/title/tt6155172/,Movie,7.7,135,2018,"Drama",172264,2018-12-14,"Alfonso Cuarón",,
21,tt7282468,2019-01-24,2019-01-24,,"Burning","Beoning",https://www.imdb.com/title/tt7282468/,Movie,7.4,148,2018,"Drama, Mystery, Thriller",79361,2018-05-17,"Lee Chang-dong",,
22,tt2661044,2019-01-24,2019-01-24,,"The 100","The 100",https://www.imdb.com/title/tt2661044/,TV Series,7.5,43,2014,"Action, Drama, Sci-Fi",285042,2014-03-19,,,
23,tt2554274,2019-01-29,2019-01-29,,"Crimson Peak","Crimson Peak",https://www.imdb.com/title/tt2554274/,Movie,6.5,119,2015,"Drama, Horror, Mystery, Romance, Thriller",161413,2015-10-16,"Guillermo del Toro",,
24,tt4291590,2019-02-07,2019-02-07,,"Evolution","Évolution",https://www.imdb.com/title/tt4291590/,Movie,5.9,81,2015,"Drama, Horror, Mystery, Sci-Fi",7730,2016-11-25,"Lucile Hadzihalilovic",,
25,tt0497137,2019-02-16,2019-02-16,,"I'm a Cyborg, But That's OK","Ssa-i-bo-geu-ji-man-gwen-chan-a",https://www.imdb.com/title/tt0497137/,Movie,6.9,107,2006,"Comedy, Drama, Romance",26232,2006-12-07,"Park Chan-wook",,
26,tt0418763,2019-02-20,2019-02-20,,"Jarhead","Jarhead",https://www.imdb.com/title/tt0418763/,Movie,7.0,125,2005,"Biography, Drama, War",212049,2005-11-04,"Sam Mendes",,
27,tt0274117,2019-02-21,2019-02-21,,"Read My Lips","Sur mes lèvres",https://www.imdb.com/title/tt0274117/,Movie,7.3,115,2001,"Crime, Drama, Romance, Thriller",16667,2002-07-26,"Jacques Audiard",,
28,tt0970179,2019-02-22,2019-02-22,,"Hugo","Hugo",https://www.imdb.com/title/tt0970179/,Movie,7.5,126,2011,"Adventure, Drama, Family, Fantasy, Mystery",340438,2011-11-23,"Martin Scorsese",,
29,tt0101660,2019-02-23,2019-02-23,,"The Dark Backward","The Dark Backward",https://www.imdb.com/title/tt0101660/,Movie,5.7,101,1991,"Comedy",4123,1993-09-24,"Adam Rifkin",,
30,tt0095159,2019-02-24,2019-02-24,,"A Fish Called Wanda","A Fish Called Wanda",https://www.imdb.com/title/tt0095159/,Movie,7.5,108,1988,"Comedy, Crime",156815,1988-07-29,"Charles Crichton, John Cleese",,
31,tt0057295,2019-02-26,2019-02-26,,"Matango","Matango",https://www.imdb.com/title/tt0057295/,Movie,6.4,89,1963,"Horror, Mystery, Sci-Fi, Thriller",3658,1963-08-11,"Ishirô Honda",,
32,tt0451829,2019-02-27,2019-02-27,,"Naisu no mori: The First Contact","Naisu no mori: The First Contact",https://www.imdb.com/title/tt0451829/,Movie,6.6,150,2005,"Comedy, Fantasy",2761,2005-10-22,"Katsuhito Ishii, Hajime Ishimine, Shunichirô Miki",,
33,tt0120889,2019-02-27,2019-02-27,,"What Dreams May Come","What Dreams May Come",https://www.imdb.com/title/tt0120889/,Movie,7.0,113,1998,"Drama, Fantasy, Romance",116090,1998-10-02,"Vincent Ward",,
34,tt0354575,2019-02-27,2019-02-27,,"The Five Obstructions","De fem benspænd",https://www.imdb.com/title/tt0354575/,Movie,7.4,90,2003,"Documentary",9333,2003-11-21,"Jørgen Leth, Lars von Trier",,
35,tt0131461,2019-02-27,2019-02-27,,"The Life and Death of 9413, a Hollywood Extra","The Life and Death of 9413, a Hollywood Extra",https://www.imdb.com/title/tt0131461/,Short,7.1,13,1928,"Short, Drama, Horror, Music",1535,1928-06-17,"Robert Florey, Slavko Vorkapich",,
36,tt1135092,2019-03-09,2019-03-09,,"The Limits of Control","The Limits of Control",https://www.imdb.com/title/tt1135092/,Movie,6.2,116,2009,"Crime, Drama, Mystery, Thriller",21452,2009-09-19,"Jim Jarmusch",,
37,tt2366608,2019-03-14,2019-03-14,,"Lost River","Lost River",https://www.imdb.com/title/tt2366608/,Movie,5.7,95,2014,"Drama, Fantasy, Mystery, Thriller",19348,2015-04-10,"Ryan Gosling",,
38,tt4669296,2019-03-29,2019-03-29,,"Lords of Chaos","Lords of Chaos",https://www.imdb.com/title/tt4669296/,Movie,6.6,118,2018,"Biography, Drama, Horror, Music, Thriller",20372,2019-02-08,"Jonas Åkerlund",,
39,tt2083265,2019-04-19,2019-04-19,,"Montauk","Montauk",https://www.imdb.com/title/tt2083265/,Short,6.3,8,2011,"Short, Horror, Sci-Fi, Thriller",49,,"Charlie Kessler",,
40,tt6574146,2019-04-19,2019-04-19,,"Blame!","Blame!",https://www.imdb.com/title/tt6574146/,Movie,6.6,106,2017,"Animation, Action, Drama, Sci-Fi, Thriller",9323,2017-05-20,"Hiroyuki Seshita",,
41,tt0060176,2019-05-14,2019-05-14,,"Blow-Up","Blow-Up",https://www.imdb.com/title/tt0060176/,Movie,7.4,111,1966,"Drama, Mystery, Thriller",69239,1967-09-26,"Michelangelo Antonioni",,
42,tt1155650,2019-05-27,2019-05-27,,"The Garden of Sinners: Overlooking View","Gekijô ban Kara no kyôkai: Dai isshô - Fukan fûkei",https://www.imdb.com/title/tt1155650/,Movie,6.9,49,2007,"Animation, Action, Crime, Fantasy, Horror, Mystery, Thriller",2870,2007-12-01,"Ei Aoki",,
43,tt7524414,2019-07-07,2019-07-07,,"Beats","Beats",https://www.imdb.com/title/tt7524414/,Movie,7.1,101,2019,"Comedy, Crime, Drama, Music",4873,2020-06-26,"Brian Welsh",,
44,tt0495596,2019-07-10,2019-07-10,,"Tales from Earthsea","Gedo senki",https://www.imdb.com/title/tt0495596/,Movie,6.3,115,2006,"Animation, Adventure, Fantasy",45467,2006-07-29,"Gorô Miyazaki",,
45,tt0092067,2019-07-10,2019-07-10,,"Castle in the Sky","Tenkû no shiro Rapyuta",https://www.imdb.com/title/tt0092067/,Movie,8.0,124,1986,"Animation, Adventure, Family, Fantasy",187283,1991-07-19,"Hayao Miyazaki",,
46,tt0102587,2019-07-10,2019-07-10,,"Only Yesterday","Omohide poro poro",https://www.imdb.com/title/tt0102587/,Movie,7.6,119,1991,"Animation, Drama, Romance",38769,2016-02-26,"Isao Takahata",,
47,tt0110008,2019-07-10,2019-07-10,,"Pom Poko","Heisei tanuki gassen ponpoko",https://www.imdb.com/title/tt0110008/,Movie,7.3,119,1994,"Animation, Comedy, Drama, Family, Fantasy",35895,1995-12-25,"Isao Takahata",,
